MC	<p>001. 4379</p> <p>Which one of the following DNA replication enzymes correspond to the description <strong>'this enzyme releases the supercoiling tension in the <span style="color: #248f24;">DNA double helix</span>'</strong>.</p>	A. <span style="color: Indigo;">DNA&nbsp;gyrase</span>&nbsp; 	Correct	B. <span style="color: SteelBlue;">primase</span>&nbsp; 	Incorrect	C. <span style="color: #3E3EC4;">DNA&nbsp;polymerase&nbsp;&#8546;</span>&nbsp; 	Incorrect	D. <span style="color: #7b7737;">single-strand binding proteins</span>&nbsp; 	Incorrect
MC	<p>001. 9ee7</p> <p>Which one of the following DNA replication enzymes correspond to the description <strong>'this enzyme replaces the <span style="color: #b33000;">RNA primers</span> with DNA in the <span style="color: Maroon;">Okazaki fragments</span>'</strong>.</p>	A. <span style="color: MediumVioletRed;">DNA&nbsp;ligase</span>&nbsp; 	Incorrect	B. <span style="color: Indigo;">DNA&nbsp;gyrase</span>&nbsp; 	Incorrect	C. <span style="color: #3E3EC4;">DNA&nbsp;polymerase&nbsp;&#8546;</span>&nbsp; 	Incorrect	D. <span style="color: #b45918;">DNA&nbsp;polymerase&nbsp;&#8544;</span>&nbsp; 	Correct
MC	<p>002. c71b</p> <p>Which one of the following DNA replication enzymes correspond to the description <strong>'this enzyme joins <span style="color: Maroon;">Okazaki fragments</span> together to create one continuous <span style="color: #248f24;">DNA strand</span>'</strong>.</p>	A. <span style="color: DarkGreen;">DNA&nbsp;helicase</span>&nbsp; 	Incorrect	B. <span style="color: MediumVioletRed;">DNA&nbsp;ligase</span>&nbsp; 	Correct	C. <span style="color: #b45918;">DNA&nbsp;polymerase&nbsp;&#8544;</span>&nbsp; 	Incorrect	D. <span style="color: Indigo;">DNA&nbsp;gyrase</span>&nbsp; 	Incorrect
MC	<p>003. 461b</p> <p>Which one of the following DNA replication enzymes correspond to the description <strong>'this protein stabilizes the open conformation of the unwound DNA'</strong>.</p>	A. <span style="color: MediumVioletRed;">DNA&nbsp;ligase</span>&nbsp; 	Incorrect	B. <span style="color: SteelBlue;">primase</span>&nbsp; 	Incorrect	C. <span style="color: DarkGreen;">DNA&nbsp;helicase</span>&nbsp; 	Incorrect	D. <span style="color: #7b7737;">single-strand binding proteins</span>&nbsp; 	Correct
MC	<p>004. 4d37</p> <p>Which one of the following DNA replication enzymes correspond to the description <strong>'this enzyme is responsible for the synthesis of most of the bacterial chromosome'</strong>.</p>	A. <span style="color: SteelBlue;">primase</span>&nbsp; 	Incorrect	B. <span style="color: #3E3EC4;">DNA&nbsp;polymerase&nbsp;&#8546;</span>&nbsp; 	Correct	C. <span style="color: MediumVioletRed;">DNA&nbsp;ligase</span>&nbsp; 	Incorrect	D. <span style="color: #b45918;">DNA&nbsp;polymerase&nbsp;&#8544;</span>&nbsp; 	Incorrect
MC	<p>004. 5fc4</p> <p>Which one of the following DNA replication enzymes correspond to the description <strong>'this protein holds the <span style="color: #248f24;">DNA strand</span>s apart while they are being replicated'</strong>.</p>	A. <span style="color: #b45918;">DNA&nbsp;polymerase&nbsp;&#8544;</span>&nbsp; 	Incorrect	B. <span style="color: SteelBlue;">primase</span>&nbsp; 	Incorrect	C. <span style="color: #3E3EC4;">DNA&nbsp;polymerase&nbsp;&#8546;</span>&nbsp; 	Incorrect	D. <span style="color: #7b7737;">single-strand binding proteins</span>&nbsp; 	Correct
MC	<p>004. 74e4</p> <p>Which one of the following DNA replication enzymes correspond to the description <strong>'this enzyme creates the <span style="color: #b33000;">RNA primers</span> that serve as a starting point for DNA synthesis'</strong>.</p>	A. <span style="color: #3E3EC4;">DNA&nbsp;polymerase&nbsp;&#8546;</span>&nbsp; 	Incorrect	B. <span style="color: Indigo;">DNA&nbsp;gyrase</span>&nbsp; 	Incorrect	C. <span style="color: SteelBlue;">primase</span>&nbsp; 	Correct	D. <span style="color: MediumVioletRed;">DNA&nbsp;ligase</span>&nbsp; 	Incorrect
MC	<p>004. 74e4</p> <p>Which one of the following DNA replication enzymes correspond to the description <strong>'this enzyme creates the <span style="color: #b33000;">RNA primers</span> that serve as a starting point for DNA synthesis'</strong>.</p>	A. <span style="color: #3E3EC4;">DNA&nbsp;polymerase&nbsp;&#8546;</span>&nbsp; 	Incorrect	B. <span style="color: SteelBlue;">primase</span>&nbsp; 	Correct	C. <span style="color: MediumVioletRed;">DNA&nbsp;ligase</span>&nbsp; 	Incorrect	D. <span style="color: #7b7737;">single-strand binding proteins</span>&nbsp; 	Incorrect
MC	<p>005. 2208</p> <p>Which one of the following DNA replication enzymes correspond to the description <strong>'this enzyme unwinds the parental <span style="color: #248f24;">DNA double helix</span>'</strong>.</p>	A. <span style="color: #7b7737;">single-strand binding proteins</span>&nbsp; 	Incorrect	B. <span style="color: #b45918;">DNA&nbsp;polymerase&nbsp;&#8544;</span>&nbsp; 	Incorrect	C. <span style="color: DarkGreen;">DNA&nbsp;helicase</span>&nbsp; 	Correct	D. <span style="color: SteelBlue;">primase</span>&nbsp; 	Incorrect
MC	<p>005. 5fc4</p> <p>Which one of the following DNA replication enzymes correspond to the description <strong>'this protein holds the <span style="color: #248f24;">DNA strand</span>s apart while they are being replicated'</strong>.</p>	A. <span style="color: SteelBlue;">primase</span>&nbsp; 	Incorrect	B. <span style="color: #7b7737;">single-strand binding proteins</span>&nbsp; 	Correct	C. <span style="color: MediumVioletRed;">DNA&nbsp;ligase</span>&nbsp; 	Incorrect	D. <span style="color: #3E3EC4;">DNA&nbsp;polymerase&nbsp;&#8546;</span>&nbsp; 	Incorrect
MC	<p>006. 4379</p> <p>Which one of the following DNA replication enzymes correspond to the description <strong>'this enzyme releases the supercoiling tension in the <span style="color: #248f24;">DNA double helix</span>'</strong>.</p>	A. <span style="color: #b45918;">DNA&nbsp;polymerase&nbsp;&#8544;</span>&nbsp; 	Incorrect	B. <span style="color: #7b7737;">single-strand binding proteins</span>&nbsp; 	Incorrect	C. <span style="color: Indigo;">DNA&nbsp;gyrase</span>&nbsp; 	Correct	D. <span style="color: MediumVioletRed;">DNA&nbsp;ligase</span>&nbsp; 	Incorrect
MC	<p>006. 4379</p> <p>Which one of the following DNA replication enzymes correspond to the description <strong>'this enzyme releases the supercoiling tension in the <span style="color: #248f24;">DNA double helix</span>'</strong>.</p>	A. <span style="color: DarkGreen;">DNA&nbsp;helicase</span>&nbsp; 	Incorrect	B. <span style="color: SteelBlue;">primase</span>&nbsp; 	Incorrect	C. <span style="color: Indigo;">DNA&nbsp;gyrase</span>&nbsp; 	Correct	D. <span style="color: #b45918;">DNA&nbsp;polymerase&nbsp;&#8544;</span>&nbsp; 	Incorrect
MC	<p>006. 4d37</p> <p>Which one of the following DNA replication enzymes correspond to the description <strong>'this enzyme is responsible for the synthesis of most of the bacterial chromosome'</strong>.</p>	A. <span style="color: MediumVioletRed;">DNA&nbsp;ligase</span>&nbsp; 	Incorrect	B. <span style="color: #3E3EC4;">DNA&nbsp;polymerase&nbsp;&#8546;</span>&nbsp; 	Correct	C. <span style="color: DarkGreen;">DNA&nbsp;helicase</span>&nbsp; 	Incorrect	D. <span style="color: Indigo;">DNA&nbsp;gyrase</span>&nbsp; 	Incorrect
MC	<p>006. 5745</p> <p>Which one of the following DNA replication enzymes correspond to the description <strong>'this enzyme relieves strain in the parental <span style="color: #248f24;">DNA double helix</span> caused by the supercoiling'</strong>.</p>	A. <span style="color: Indigo;">DNA&nbsp;gyrase</span>&nbsp; 	Correct	B. <span style="color: #7b7737;">single-strand binding proteins</span>&nbsp; 	Incorrect	C. <span style="color: #b45918;">DNA&nbsp;polymerase&nbsp;&#8544;</span>&nbsp; 	Incorrect	D. <span style="color: MediumVioletRed;">DNA&nbsp;ligase</span>&nbsp; 	Incorrect
